AddressLine1,Birth Date,Color,Commute Distance,Date First Purchase,English Description,English Education,English Occupation,English Product Name,English Promotion Category,English Promotion Name,English Promotion Type,Marital Status,Model Name,OrderDate,Product Alternate Key,Product Line,Product Subcategory Key,ProductKey,ShipDate,Size,Size Range,Size Unit Measure Code,Spanish Education,Spanish Occupation,Spanish Product Name,Spanish Promotion Category,Spanish Promotion Name,Spanish Promotion Type,Start Date,StartDate (DimPromotion),Days To Manufacture,Dealer Price,Discount Pct,DiscountAmount,ExtendedAmount,Freight,List Price,Max Qty,Min Qty,Number Cars Owned,Number Children At Home,Número de registros,OrderQuantity,ProductStandardCost,Reorder Point,Safety Stock Level,SalesAmount,SalesOrderLineNumber,Standard Cost,TaxAmt,Total Children,TotalProductCost,UnitPrice,UnitPriceDiscountPct,Weight,Yearly Income
4909 Vine Lane,3/01/1981,Yellow,0-1 Miles,24/04/2012,All-occasion value bike with our basic comfort and safety features. Offers wider  more stable tires for a ride around town or weekend trip.,Graduate Degree,Clerical,Touring-3000 Yellow  44,Reseller,Touring-3000 Promotion,New Product,S,Touring-3000,13/03/2013 12:00:00 a.m.,BK-T18Y-44,T,3,568,20/03/2013 12:00:00 a.m.,44,42-46 CM,CM,Estudios de postgrado,Administrativo,Paseo: 3000  amarilla  44,Distribuidor,Promoción ‘Touring-3000’,Producto Nuevo,1/07/2013 12:00:00 a.m.,28/12/2012 12:00:00 a.m.,4,445.410,0.15,0,742.3500,18.5588,742.3500,,0,0,0,1,1,461.4448,75,100,742.35,1,461.4448,59.3880,0,461.4448,742.35,0,28.77,40000
3093 Roland Drive,6/03/1975,Yellow,0-1 Miles,16/05/2012,All-occasion value bike with our basic comfort and safety features. Offers wider  more stable tires for a ride around town or weekend trip.,Graduate Degree,Skilled Manual,Touring-3000 Yellow  54,Reseller,Touring-3000 Promotion,New Product,S,Touring-3000,12/03/2013 12:00:00 a.m.,BK-T18Y-54,T,3,570,19/03/2013 12:00:00 a.m.,54,54-58 CM,CM,Estudios de postgrado,Obrero especializado,Paseo: 3000  amarilla  54,Distribuidor,Promoción ‘Touring-3000’,Producto Nuevo,1/07/2013 12:00:00 a.m.,28/12/2012 12:00:00 a.m.,4,445.410,0.15,0,742.3500,18.5588,742.3500,,0,0,0,1,1,461.4448,75,100,742.35,1,461.4448,59.3880,0,461.4448,742.35,0,29.42,40000
102 Vista Place,14/01/1976,Yellow,0-1 Miles,15/01/2013,Travel in style and comfort. Designed for maximum comfort and safety. Wide gear range takes on all hills. High-tech aluminum alloy construction provides durability without added weight.,Bachelors,Clerical,Touring-1000 Yellow  46,Reseller,Touring-1000 Promotion,New Product,M,Touring-1000,15/01/2013 12:00:00 a.m.,BK-T79Y-46,T,3,561,22/01/2013 12:00:00 a.m.,46,42-46 CM,CM,Licenciatura,Administrativo,Paseo: 1000  amarilla  46,Distribuidor,Promoción ‘Touring-1000’,Producto Nuevo,1/07/2013 12:00:00 a.m.,28/12/2012 12:00:00 a.m.,4,1430.442,0.20,0,2384.0700,59.6018,2384.0700,,0,0,0,1,1,1481.9379,75,100,2384.07,1,1481.9379,190.7256,0,1481.9379,2384.07,0,25.13,30000
3316 Balhan Dr,17/04/1952,Silver,5-10 Miles,4/01/2011,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,Partial College,Professional,Mountain-200 Silver  46,Reseller,Volume Discount 11 to 14,Volume Discount,M,Mountain-200,26/05/2013 12:00:00 a.m.,BK-M68S-46,M,1,357,2/06/2013 12:00:00 a.m.,46,42-46 CM,CM,Estudios universitarios (en curso),Profesional,Montaña: 200  plateada  46,Distribuidor,Descuento por volumen (entre 11 y 14),Descuento por volumen,1/07/2013 12:00:00 a.m.,29/12/2010 12:00:00 a.m.,4,1391.994,0.02,0,2319.9900,57.9998,2319.9900,14,11,4,4,1,1,1265.6195,75,100,2319.99,1,1265.6195,185.5992,4,1265.6195,2319.99,0,24.13,130000
3857 Mt. Etna,11/05/1960,Silver,10+ Miles,21/01/2011,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,High School,Professional,Mountain-200 Silver  38,Reseller,Volume Discount 11 to 14,Volume Discount,S,Mountain-200,30/05/2013 12:00:00 a.m.,BK-M68S-38,M,1,353,6/06/2013 12:00:00 a.m.,38,38-40 CM,CM,Educación secundaria,Profesional,Montaña: 200  plateada  38,Distribuidor,Descuento por volumen (entre 11 y 14),Descuento por volumen,1/07/2013 12:00:00 a.m.,29/12/2010 12:00:00 a.m.,4,1391.994,0.02,0,2319.9900,57.9998,2319.9900,14,11,2,1,1,1,1265.6195,75,100,2319.99,1,1265.6195,185.5992,3,1265.6195,2319.99,0,23.35,90000
7650 Central Blvd,13/05/1964,Black,2-5 Miles,22/01/2011,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,Partial College,Professional,Mountain-200 Black  46,Reseller,Volume Discount 11 to 14,Volume Discount,M,Mountain-200,10/06/2013 12:00:00 a.m.,BK-M68B-46,M,1,363,17/06/2013 12:00:00 a.m.,46,42-46 CM,CM,Estudios universitarios (en curso),Profesional,Montaña: 200  negra  46,Distribuidor,Descuento por volumen (entre 11 y 14),Descuento por volumen,1/07/2013 12:00:00 a.m.,29/12/2010 12:00:00 a.m.,4,1376.994,0.02,0,2294.9900,57.3748,2294.9900,14,11,1,2,1,1,1251.9813,75,100,2294.99,1,1251.9813,183.5992,4,1251.9813,2294.99,0,24.13,80000
6957 Olivewood Ct.,4/08/1960,Silver,0-1 Miles,25/01/2011,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,Partial College,Management,Mountain-200 Silver  38,Reseller,Volume Discount 11 to 14,Volume Discount,S,Mountain-200,19/12/2013 12:00:00 a.m.,BK-M68S-38,M,1,353,26/12/2013 12:00:00 a.m.,38,38-40 CM,CM,Estudios universitarios (en curso),Gestión,Montaña: 200  plateada  38,Distribuidor,Descuento por volumen (entre 11 y 14),Descuento por volumen,1/07/2013 12:00:00 a.m.,29/12/2010 12:00:00 a.m.,4,1391.994,0.02,0,2319.9900,57.9998,2319.9900,14,11,4,5,1,1,1265.6195,75,100,2319.99,1,1265.6195,185.5992,5,1265.6195,2319.99,0,23.35,170000
1926 Fish Dr.,2/01/1978,Black,1-2 Miles,2/02/2011,Alluminum-alloy frame provides a light  stiff ride  whether you are racing in the velodrome or on a demanding club ride on country roads.,High School,Manual,Road-250 Black  44,Reseller,Volume Discount 11 to 14,Volume Discount,S,Road-250,28/07/2013 12:00:00 a.m.,BK-R89B-44,R,2,374,4/08/2013 12:00:00 a.m.,44,42-46 CM,CM,Educación secundaria,Obrero,Carretera: 250  negra  44,Distribuidor,Descuento por volumen (entre 11 y 14),Descuento por volumen,1/07/2013 12:00:00 a.m.,29/12/2010 12:00:00 a.m.,4,1466.010,0.02,0,2443.3500,61.0838,2443.3500,14,11,1,0,1,1,1554.9479,75,100,2443.35,1,1554.9479,195.4680,0,1554.9479,2443.35,0,14.77,30000
3817 Green Hill Rd.,5/08/1976,Silver,1-2 Miles,18/02/2011,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,Partial High School,Manual,Mountain-200 Silver  46,Reseller,Volume Discount 11 to 14,Volume Discount,S,Mountain-200,4/09/2013 12:00:00 a.m.,BK-M68S-46,M,1,357,11/09/2013 12:00:00 a.m.,46,42-46 CM,CM,Educación secundaria (en curso),Obrero,Montaña: 200  plateada  46,Distribuidor,Descuento por volumen (entre 11 y 14),Descuento por volumen,1/07/2013 12:00:00 a.m.,29/12/2010 12:00:00 a.m.,4,1391.994,0.02,0,2319.9900,57.9998,2319.9900,14,11,2,0,1,1,1265.6195,75,100,2319.99,1,1265.6195,185.5992,0,1265.6195,2319.99,0,24.13,20000
4179 Green St.,16/08/1977,Silver,1-2 Miles,23/02/2011,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,Partial High School,Manual,Mountain-200 Silver  46,Reseller,Volume Discount 11 to 14,Volume Discount,S,Mountain-200,14/09/2013 12:00:00 a.m.,BK-M68S-46,M,1,357,21/09/2013 12:00:00 a.m.,46,42-46 CM,CM,Educación secundaria (en curso),Obrero,Montaña: 200  plateada  46,Distribuidor,Descuento por volumen (entre 11 y 14),Descuento por volumen,1/07/2013 12:00:00 a.m.,29/12/2010 12:00:00 a.m.,4,1391.994,0.02,0,2319.9900,57.9998,2319.9900,14,11,2,0,1,1,1265.6195,75,100,2319.99,1,1265.6195,185.5992,0,1265.6195,2319.99,0,24.13,20000
